volcano_name;eruption_number;eruption_category;area_of_activity;vei;start_year;start_month;start_day;evidence_method_dating;end_year;end_month;end_day;latitude;longitude
Tengger Caldera;13449;Confirmed Eruption;Bromo;2;1866;7;0;Historical Observations;NA;NA;NA;-7.942;112.95
Izalco;10791;Confirmed Eruption;NA;2;1866;4;27;Historical Observations;1866;8;15;13.813;-89.633
Pavlof;20119;Confirmed Eruption;NA;2;1866;3;14;Historical Observations;NA;NA;NA;55.417;-161.894
Colima;10438;Discredited Eruption;NA;NA;1866;3;4;NA;1868;0;0;19.514;-103.62
Santorini;13887;Confirmed Eruption;Georgios, Afroessa and Reka domes;2;1866;1;26;Historical Observations;1870;10;15;36.404;25.396
Cameroon;14123;Confirmed Eruption;NA;2;1866;1;0;Historical Observations;NA;NA;NA;4.203;Sep.17
Turrialba;11246;Confirmed Eruption;Central and SW summit craters;3;1866;1;0;Historical Observations;1866;5;8;10.025;-83.767
Llaima;12030;Confirmed Eruption;NA;2;1866;0;0;Historical Observations;NA;NA;NA;-38.692;-71.729
Semeru;15981;Uncertain Eruption;NA;2;1866;0;0;NA;NA;NA;NA;-8.108;112.922
Sorikmarapi;15407;Uncertain Eruption;NA;NA;1866;0;0;NA;NA;NA;NA;0.686;99.539
Kanlaon;16722;Confirmed Eruption;NA;2;1866;0;0;Historical Observations;NA;NA;NA;10.412;123.132
Mauna Loa;10195;Confirmed Eruption;Mokuaweoweo;0;1865;12;30;Historical Observations;1866;4;29;19.475;-155.608
Tengger Caldera;13448;Confirmed Eruption;Bromo;2;1865;12;1;Historical Observations;1865;12;18;-7.942;112.95
Merapi;15877;Confirmed Eruption;NA;2;1865;10;24;Historical Observations;1871;8;0;-7.54;110.446
Galeras;11359;Confirmed Eruption;NA;3;1865;10;2;Historical Observations;1870;0;0;Jan.22;-77.37
Hood;20574;Confirmed Eruption;NA;2;1865;9;21;Historical Observations;1866;1;0;45.374;-121.695
Klyuchevskoy;19422;Confirmed Eruption;NA;2;1865;9;0;Historical Observations;NA;NA;NA;56.056;160.642
Pico Fracture Zone;12982;Confirmed Eruption;NA;0;1865;7;9;Historical Observations;NA;NA;NA;38.75;-38.08
Lewotobi;16282;Confirmed Eruption;Lewotobi Lakilaki;2;1865;5;4;Historical Observations;NA;NA;NA;-8.542;122.775
Semeru;15980;Confirmed Eruption;NA;2;1865;4;15;Historical Observations;NA;NA;NA;-8.108;112.922
Tengger Caldera;15988;Confirmed Eruption;Bromo;2;1865;4;0;Historical Observations;1865;5;0;-7.942;112.95
Fournaise, Piton de la;14286;Confirmed Eruption;NA;2;1865;2;5;Historical Observations;1865;2;10;-21.244;55.708
Etna;13744;Confirmed Eruption;NE flank (1865-1690 m, Mt. Sartorius);2;1865;1;30;Historical Observations;1865;6;28;37.748;14.999
Karthala;14189;Confirmed Eruption;NA;2;1865;0;0;Historical Observations;NA;NA;NA;-11.75;43.38
Cameroon;14122;Confirmed Eruption;NA;2;1865;0;0;Historical Observations;NA;NA;NA;4.203;Sep.17
Fonuafo'ou;14735;Uncertain Eruption;NA;0;1865;0;0;NA;NA;NA;NA;-20.32;-175.42
Savo;15185;Uncertain Eruption;NA;NA;1865;0;0;NA;NA;NA;NA;-9.13;159.82
Bagana;15115;Confirmed Eruption;NA;2;1865;0;0;Historical Observations;1883;0;0;-6.137;155.196
Kelimutu;16261;Confirmed Eruption;NA;2;1865;0;0;Historical Observations;NA;NA;NA;-8.77;121.82
Makaturing;16704;Confirmed Eruption;NA;2;1865;0;0;Historical Observations;NA;NA;NA;7.644;124.317
Shishaldin;20065;Uncertain Eruption;NA;NA;1865;0;0;NA;NA;NA;NA;54.756;-163.97
Makushin;19543;Confirmed Eruption;NA;NA;1865;0;0;Historical Observations;NA;NA;NA;53.891;-166.923
Akutan;20005;Confirmed Eruption;NA;NA;1865;0;0;Historical Observations;NA;NA;NA;54.134;-165.986
Baker;20461;Uncertain Eruption;Sherman Crater;NA;1865;0;0;NA;NA;NA;NA;48.777;-121.813
Farallon de Pajaros;18479;Discredited Eruption;NA;NA;1865;0;0;NA;NA;NA;NA;20.546;144.893
Ubinas;11787;Confirmed Eruption;NA;2;1865;0;0;Historical Observations;NA;NA;NA;-16.355;-70.903
Olca-Paruma;11829;Uncertain Eruption;NA;NA;1865;0;0;Uncertain;1867;0;0;-20.939;-68.413
Nyamuragira;14039;Confirmed Eruption;NA;NA;1865;NA;NA;Historical Observations;NA;NA;NA;-1.408;29.Feb
Gamalama;16647;Confirmed Eruption;NA;2;1864;12;27;Historical Observations;1865;1;2;0.8;127.33
Tongariro;13432;Confirmed Eruption;Ngauruhoe;2;1864;12;0;Historical Observations;1865;1;0;-39.157;175.632
Chillan, Nevados de;11972;Confirmed Eruption;NW flank of Cerro Blanco (Santa Gertrudis);3;1864;11;30;Historical Observations;1865;2;3;-36.868;-71.378
Mocho-Choshuenco;12185;Confirmed Eruption;SW flank of El Mocho (Chaiquemahuida);2;1864;11;1;Historical Observations;1864;11;3;-39.927;-72.027
Callaqui;19915;Uncertain Eruption;NA;NA;1864;10;0;NA;NA;NA;NA;-37.92;-71.45
Villarrica;12128;Confirmed Eruption;NA;2;1864;10;0;Historical Observations;NA;NA;NA;-39.42;-71.93
Makian;16687;Confirmed Eruption;NA;1;1864;10;0;Historical Observations;1864;10;0;0.32;127.4
Irazu;11211;Confirmed Eruption;NA;2;1864;9;16;Historical Observations;1864;9;17;9.979;-83.852
Turrialba;11245;Confirmed Eruption;Central and SW summit craters;2;1864;8;17;Historical Observations;1865;3;0;10.025;-83.767
Etna;13743;Confirmed Eruption;Central Crater;2;1864;8;5;Historical Observations;1864;9;19;37.748;14.999
Raung;15921;Confirmed Eruption;NA;2;1864;7;2;Historical Observations;1864;12;0;-8.119;114.056
Semeru;15979;Discredited Eruption;NA;NA;1864;7;2;NA;NA;NA;NA;-8.108;112.922
Lamongan;16081;Confirmed Eruption;NA;2;1864;6;9;Historical Observations;1864;7;0;-7.981;113.341
Lopevi;15299;Confirmed Eruption;NA;3;1864;6;9;Historical Observations;NA;NA;NA;-16.507;168.346
Karangetang;16497;Confirmed Eruption;NA;2;1864;6;6;Historical Observations;NA;NA;NA;2.781;125.407
Gamalama;16646;Uncertain Eruption;NA;1;1864;6;4;NA;1864;6;25;0.8;127.33
Izalco;10790;Confirmed Eruption;Summit and NE flank;2;1864;5;15;Historical Observations;1865;6;15;13.813;-89.633
Vesuvius;13357;Confirmed Eruption;Summit and upper SE flank;2;1864;2;10;Historical Observations;1868;11;26;40.821;14.426
Gamalama;16645;Confirmed Eruption;NA;2;1864;1;20;Historical Observations;1864;2;17;0.8;127.33
Farallon de Pajaros;18478;Confirmed Eruption;SW side;2;1864;1;7;Historical Observations;NA;NA;NA;20.546;144.893
Kelut;15949;Confirmed Eruption;NA;2;1864;1;4;Historical Observations;1864;1;4;-7.93;112.308
Alamagan;18527;Uncertain Eruption;NA;NA;1864;1;0;NA;NA;NA;NA;17.Jun;145.83
Pagan;18507;Confirmed Eruption;South Pagan;1;1864;0;0;Historical Observations;NA;NA;NA;18.13;145.8
Lewotolo;16333;Confirmed Eruption;NA;2;1864;0;0;Historical Observations;NA;NA;NA;-8.272;123.505
Llaima;12029;Confirmed Eruption;NA;3;1864;0;0;Historical Observations;NA;NA;NA;-38.692;-71.729
Fournaise, Piton de la;14285;Confirmed Eruption;NA;0;1863;12;20;Historical Observations;1864;1;29;-21.244;55.708
Antuco;19910;Confirmed Eruption;NA;2;1863;12;0;Historical Observations;NA;NA;NA;-37.406;-71.349
Makian;16686;Confirmed Eruption;NA;1;1863;8;25;Historical Observations;1863;8;31;0.32;127.4
Campi Flegrei del Mar di Sicilia;13869;Confirmed Eruption;Giulia Ferdinandeo;2;1863;8;12;Historical Observations;NA;NA;NA;37.1;12.Jul
Isluga;11823;Confirmed Eruption;NA;1;1863;8;0;Historical Observations;NA;NA;NA;-19.15;-68.83
Baker;20460;Confirmed Eruption;Sherman Crater;2;1863;7;0;Historical Observations;NA;NA;NA;48.777;-121.813
Mayon;16778;Uncertain Eruption;NA;NA;1863;5;30;NA;NA;NA;NA;13.257;123.685
Marapi;15427;Confirmed Eruption;NA;2;1863;5;23;Historical Observations;NA;NA;NA;-0.38;100.474
Gamalama;16644;Uncertain Eruption;NA;2;1863;5;1;NA;1863;6;0;0.8;127.33
Etna;13742;Confirmed Eruption;Central Crater;3;1863;5;1;Historical Observations;1863;7;25;37.748;14.999
